Doc_ID,Nama_Tempat,Lokasi,Rating,Teks_Mentah
81,Watu Mabur Lemahbang Rock Cliff,"Bantul, DIY",4.0,"Taman rekreasi alam eksotis di kawasan wisata lereng gunung Mangunan yang populer, Kecamatan Dlingo, Kabupaten Bantul, Daerah Istimewa Yogyakarta, menawarkan platform swafoto, area berkemah yang luas, dan area glamping di tebing karst yang menghadap ngarai Sungai Oya. Tempat ini cocok bagi para pencinta matahari terbit yang menawarkan sensasi ""berjalan di atas awan"". Terdapat beberapa kedai makanan yang menawarkan hidangan dan minuman sederhana, dan salah satunya buka 24 jam untuk melayani para peserta berkemah dan glamper (jika ada). Toilet bersih tersedia di area parkir utama dan kamar mandi dengan shower tersedia di area glamping (tanpa air panas). Tersedia musholla bersama yang bersih. Biaya masuk: Rp2.500/orang, berkemah: Rp15.000/orang, kayu bakar: Rp30.000 untuk rombongan besar. Tarif glamping adalah Rp150.000 untuk kabin luas yang unik dengan dua kasur besar, tanpa air panas untuk mandi, dan kamar mandi bersama yang bersih. Tempat parkir yang luas untuk sepeda motor, mobil, dan bus. Kekurangan: tidak ada WiFi gratis."
82,Watu Mabur Lemahbang Rock Cliff,"Bantul, DIY",5.0,"cocok untuk crew ataupun family gathering.. bisa juga sekedar nongkrong sejenak menghindar dari hiruk pikuk kota untuk camping.. pengelola ramah, fasilitas cukup baik.. mobil campervan dapat parkir dekat dengan zona camping zone"
83,Watu Mabur Lemahbang Rock Cliff,"Bantul, DIY",5.0,Termasuk tempat camping best lah.. Fasilitas dan suasana juga pemandangannya. Bisa mendirikan tenda di sebelah parkir mobil.
84,Watu Mabur Lemahbang Rock Cliff,"Bantul, DIY",4.0,"pemandangannya keren, suasana ok pelayanan ramah, murah juga untuk tiket masuknya"
85,Ngrumput Beach,"Gunungkidul, DIY",4.0,"Tempatnya bagus buat nikmatin sunset apalagi di puncak kosakora nya pemandangan pantainya lebih luas, untuk harga camping disini termasuk ga terlalu mahal dan bisa bawa tenda sendiri, tp pesan saya bagi yang mau Camping jangan masang tenda dekat warung pojok samping kiri, saya kemarin disana cuma gara2 kita beli makanan diwarung yang samping nya bukan warung itu, pemilik nya marah dan ngusir kita padahal ga ada peraturan tersebut. FOTO WARUNG YANG BERMASALAH ADA DIBAWAH INI"
86,Ngrumput Beach,"Gunungkidul, DIY",4.0,"salah satu pantai pasir putih di gunung kidul dengan view yang sangat cantik. Di sarankan kesini saat sore hari, karena air sedang surut, jadi bisa berjalan ke tepi² pantai. View sunset nya sangat cantik, bisa naik ke bukit kosakora. Banyak penyewaan tenda disini. Sayangnya banyak bayar², seperti tiket masuk gunung kidul perorang 15k, lalu parkir satu malam 10k, saat masuk ke pantainya bayar lagi untuk kebersihan 15k. Kesini saat weekday jadi tidak terlalu ramai pengunjung, jadi cukup tenang menikmati pemandangan pantainya. Disini jugà banyak kucing, kucingnya baik² ngga galak"
87,Ngrumput Beach,"Gunungkidul, DIY",5.0,"Pantainya keliatan cantik banget, kesana pas malem-malem terus camp. Aku sewa tenda + sekalian toilet biar ngga bolak-balik bayar, dan nyaman poll disana, kayak ngga mau pulanggg😭😭 Oiya, jangan lupa mampir di pantai sebelahnya guyss!! Ada pantai watu bolong, atau kalo engga bisa ke puncaknya, aku belom coba tapi yg di puncak, ngga sempettt😭"
88,Ngrumput Beach,"Gunungkidul, DIY",5.0,"Pantai di daerah gunung Kidul lokasi cocok untuk camp dan fasilitas tergolong cukup lengkap ada kamar mandi mushola dan warung di daerah pantai, disana juga ada banyak persewaan tenda kebetulan lewat diberanda tik tok saya, pemilik warung serta peminjaman tenda sangat ramah dan membantu"
89,Ngrumput Beach,"Gunungkidul, DIY",5.0,"Bagus lumayan bersih. Banyak spot foto. Harga Makanan standard. Setiap warung ada toilet, musholla, tempat cas , bisa nge-camp sewa tenda dll. Bisa mampir di pantai terdekatnya."
90,Ngrumput Beach,"Gunungkidul, DIY",5.0,"Sangat cocok untuk yg ingin nge camp ga mau repot,banyak yg menyediakan persewaan tenda disini,dan fasilitas lengkap."
